Lake,Parasite,Date,Round,Location,CV
LilAp,Ordospora,6/23/21,2,Intermediate,NA
LilAp,Ordospora,7/7/21,3,Intermediate,NA
LilAp,Ordospora,7/21/21,4,Intermediate,2
LilAp,Ordospora,8/4/21,5,Intermediate,2.236067977
LilAp,Ordospora,8/18/21,6,Intermediate,2.236067977
LilAp,Ordospora,9/1/21,7,Intermediate,2.236067977
LilAp,Ordospora,9/15/21,8,Intermediate,1.20277457
LilAp,Ordospora,9/29/21,9,Intermediate,1.673320053
LilAp,Ordospora,10/13/21,10,Intermediate,1.814955179
LilAp,Ordospora,10/27/21,11,Intermediate,2.533393224
LilAp,Ordospora,11/10/21,12,Intermediate,1.819162056
LilAp,Ordospora,6/9/21,1,Nearshore,1.732050808
LilAp,Ordospora,6/23/21,2,Nearshore,NA
LilAp,Ordospora,7/7/21,3,Nearshore,0.666666667
LilAp,Ordospora,7/21/21,4,Nearshore,NA
LilAp,Ordospora,8/4/21,5,Nearshore,2
LilAp,Ordospora,8/18/21,6,Nearshore,2
LilAp,Ordospora,9/1/21,7,Nearshore,2
LilAp,Ordospora,9/15/21,8,Nearshore,0.912870929
LilAp,Ordospora,9/29/21,9,Nearshore,2.236067977
LilAp,Ordospora,10/13/21,10,Nearshore,NA
LilAp,Ordospora,10/27/21,11,Nearshore,2.236067977
LilAp,Ordospora,11/10/21,12,Nearshore,2.236067977
LilAp,Blastulidium,6/9/21,1,Basin,1.747409352
LilAp,Blastulidium,6/23/21,2,Basin,NA
LilAp,Blastulidium,7/7/21,3,Basin,2.449489743
LilAp,Blastulidium,7/21/21,4,Basin,2.449489743
LilAp,Blastulidium,8/4/21,5,Basin,NA
LilAp,Blastulidium,8/18/21,6,Basin,1.814001264
LilAp,Blastulidium,9/1/21,7,Basin,2.449489743
LilAp,Blastulidium,9/15/21,8,Basin,1.9909965
LilAp,Blastulidium,9/29/21,9,Basin,2.560694537
LilAp,Blastulidium,10/13/21,10,Basin,1.835856849
LilAp,Blastulidium,10/27/21,11,Basin,1.536622811
LilAp,Blastulidium,11/10/21,12,Basin,1.174770608
LilAp,Blastulidium,6/9/21,1,Intermediate,1.987910524
LilAp,Blastulidium,6/23/21,2,Intermediate,1.845871734
LilAp,Blastulidium,7/7/21,3,Intermediate,NA
LilAp,Blastulidium,7/21/21,4,Intermediate,2
LilAp,Blastulidium,8/4/21,5,Intermediate,1.567122899
LilAp,Blastulidium,8/18/21,6,Intermediate,NA
LilAp,Blastulidium,9/1/21,7,Intermediate,NA
LilAp,Blastulidium,9/15/21,8,Intermediate,1.415264788
LilAp,Blastulidium,9/29/21,9,Intermediate,NA
LilAp,Blastulidium,10/13/21,10,Intermediate,NA
LilAp,Blastulidium,10/27/21,11,Intermediate,0.893581466
LilAp,Blastulidium,11/10/21,12,Intermediate,1.61026422
LilAp,Blastulidium,6/9/21,1,Nearshore,1.732050808
LilAp,Blastulidium,6/23/21,2,Nearshore,0.866025404
LilAp,Blastulidium,7/7/21,3,Nearshore,NA
LilAp,Blastulidium,7/21/21,4,Nearshore,1.276569477
LilAp,Blastulidium,8/4/21,5,Nearshore,2
LilAp,Blastulidium,8/18/21,6,Nearshore,NA
LilAp,Blastulidium,9/1/21,7,Nearshore,2
LilAp,Blastulidium,9/15/21,8,Nearshore,2.236067977
LilAp,Blastulidium,9/29/21,9,Nearshore,2.236067977
LilAp,Blastulidium,10/13/21,10,Nearshore,2.236067977
LilAp,Blastulidium,10/27/21,11,Nearshore,1.044958569
LilAp,Blastulidium,11/10/21,12,Nearshore,0.986231748
LilAp,Spirobacillus,6/9/21,1,Basin,1.259631991
LilAp,Spirobacillus,6/23/21,2,Basin,0.872197609
LilAp,Spirobacillus,7/7/21,3,Basin,1.048295912
LilAp,Spirobacillus,7/21/21,4,Basin,0.727156543
LilAp,Spirobacillus,8/4/21,5,Basin,0.847969958
LilAp,Spirobacillus,8/18/21,6,Basin,1.757494168
LilAp,Spirobacillus,9/1/21,7,Basin,0.929902756
LilAp,Spirobacillus,9/15/21,8,Basin,0.770771331
LilAp,Spirobacillus,9/29/21,9,Basin,2.019775529
LilAp,Spirobacillus,10/13/21,10,Basin,0.847447438
LilAp,Spirobacillus,10/27/21,11,Basin,0.491849499
LilAp,Spirobacillus,11/10/21,12,Basin,0.706638847
LilAp,Spirobacillus,6/9/21,1,Intermediate,1.461579361
LilAp,Spirobacillus,6/23/21,2,Intermediate,0.800856555
LilAp,Spirobacillus,7/7/21,3,Intermediate,NA
LilAp,Spirobacillus,7/21/21,4,Intermediate,0.677810939
LilAp,Spirobacillus,8/4/21,5,Intermediate,1.285574477
LilAp,Spirobacillus,8/18/21,6,Intermediate,0.658337655
LilAp,Spirobacillus,9/1/21,7,Intermediate,1.400901965
LilAp,Spirobacillus,9/15/21,8,Intermediate,2.369888891
LilAp,Spirobacillus,9/29/21,9,Intermediate,1.038688877
LilAp,Spirobacillus,10/13/21,10,Intermediate,0.186510128
LilAp,Spirobacillus,10/27/21,11,Intermediate,0.282028737
LilAp,Spirobacillus,11/10/21,12,Intermediate,1.214765524
LilAp,Spirobacillus,6/9/21,1,Nearshore,1.202172597
LilAp,Spirobacillus,6/23/21,2,Nearshore,0.243889319
LilAp,Spirobacillus,7/7/21,3,Nearshore,1.609739674
LilAp,Spirobacillus,7/21/21,4,Nearshore,0.861427578
LilAp,Spirobacillus,8/4/21,5,Nearshore,0.859823146
LilAp,Spirobacillus,8/18/21,6,Nearshore,0.817282486
LilAp,Spirobacillus,9/1/21,7,Nearshore,0.698297925
LilAp,Spirobacillus,9/15/21,8,Nearshore,0.735502196
LilAp,Spirobacillus,9/29/21,9,Nearshore,1.00910622
LilAp,Spirobacillus,10/13/21,10,Nearshore,1.169062479
LilAp,Spirobacillus,10/27/21,11,Nearshore,0.238507224
LilAp,Spirobacillus,11/10/21,12,Nearshore,1.22133454
