Sample,Round,Depth,Date,Lake,Location,Parasite,Concentration,ConcentrationLog10Plus1
B9B10,9,10,9/29/21,Bishop,Basin,Blastulidium,10808.05,4.033787526
B9B11,9,11,9/29/21,Bishop,Basin,Blastulidium,2055.4,3.313107595
B9B12,9,12,9/29/21,Bishop,Basin,Blastulidium,410.65,2.61452812
B9B13,9,13,9/29/21,Bishop,Basin,Blastulidium,0,0
B9B14,9,14,9/29/21,Bishop,Basin,Blastulidium,513.85,2.711680717
B9B15,9,15,9/29/21,Bishop,Basin,Blastulidium,1642.6,3.215796133
B9B16,9,16,9/29/21,Bishop,Basin,Blastulidium,6680.05,3.824844722
B10B0,10,0,10/13/21,Bishop,Basin,Blastulidium,21254.9,4.327479498
B10B1,10,1,10/13/21,Bishop,Basin,Blastulidium,21693.5,4.336349645
B10B2,10,2,10/13/21,Bishop,Basin,Blastulidium,16189.5,4.209260261
B10B3,10,3,10/13/21,Bishop,Basin,Blastulidium,16189.5,4.209260261
B10B4,10,4,10/13/21,Bishop,Basin,Blastulidium,32959.5,4.517993791
B10B5,10,5,10/13/21,Bishop,Basin,Blastulidium,26552.5,4.424121773
B10B6,10,6,10/13/21,Bishop,Basin,Blastulidium,212162,5.326669648
B10B7,10,7,10/13/21,Bishop,Basin,Blastulidium,5448.1,3.736324778
B10B8,10,8,10/13/21,Bishop,Basin,Blastulidium,13394.5,4.126958929
B10B9,10,9,10/13/21,Bishop,Basin,Blastulidium,924.5,2.966376423
B10B10,10,10,10/13/21,Bishop,Basin,Blastulidium,617.05,2.791023611
B10B11,10,11,10/13/21,Bishop,Basin,Blastulidium,513.85,2.711680717
B10B12,10,12,10/13/21,Bishop,Basin,Blastulidium,513.85,2.711680717
B10B13,10,13,10/13/21,Bishop,Basin,Blastulidium,309.6,2.492201451
B10B14,10,14,10/13/21,Bishop,Basin,Blastulidium,307.45,2.489184775
B10B15,10,15,10/13/21,Bishop,Basin,Blastulidium,0,0
B10B16,10,16,10/13/21,Bishop,Basin,Blastulidium,307.45,2.489184775
B11B0,11,0,10/27/21,Bishop,Basin,Blastulidium,4929.95,3.692930599
B11B1,11,1,10/27/21,Bishop,Basin,Blastulidium,6168.35,3.790239409
B11B2,11,2,10/27/21,Bishop,Basin,Blastulidium,2362.85,3.373619915
B11B3,11,3,10/27/21,Bishop,Basin,Blastulidium,13185.95,4.12014436
B11B4,11,4,10/27/21,Bishop,Basin,Blastulidium,5757.7,3.760324455
B11B5,11,5,10/27/21,Bishop,Basin,Blastulidium,6892.9,3.838464979
B11B6,11,6,10/27/21,Bishop,Basin,Blastulidium,11635.8,4.06583357
B11B7,11,7,10/27/21,Bishop,Basin,Blastulidium,18857.65,4.2755106
B11B8,11,8,10/27/21,Bishop,Basin,Blastulidium,6583.3,3.81850961
B11B9,11,9,10/27/21,Bishop,Basin,Blastulidium,758735,5.880090691
B11B10,11,10,10/27/21,Bishop,Basin,Blastulidium,4319.35,3.635518931
B11B11,11,11,10/27/21,Bishop,Basin,Blastulidium,206.4,2.316808752
B11B12,11,12,10/27/21,Bishop,Basin,Blastulidium,103.2,2.017867719
B11B13,11,13,10/27/21,Bishop,Basin,Blastulidium,0,0
B11B14,11,14,10/27/21,Bishop,Basin,Blastulidium,307.45,2.489184775
B11B15,11,15,10/27/21,Bishop,Basin,Blastulidium,0,0
B11B16,11,16,10/27/21,Bishop,Basin,Blastulidium,0,0
B12B0,12,0,11/10/21,Bishop,Basin,Blastulidium,9150.4,3.961487538
B12B1,12,1,11/10/21,Bishop,Basin,Blastulidium,2979.9,3.474347407
B12B2,12,2,11/10/21,Bishop,Basin,Blastulidium,5243.85,3.719733072
B12B3,12,3,11/10/21,Bishop,Basin,Blastulidium,11317.6,4.053792712
B12B4,12,4,11/10/21,Bishop,Basin,Blastulidium,5755.55,3.760162281
B12B5,12,5,11/10/21,Bishop,Basin,Blastulidium,7843.2,3.894548658
B12B6,12,6,11/10/21,Bishop,Basin,Blastulidium,14835,4.171316825
B12B7,12,7,11/10/21,Bishop,Basin,Blastulidium,10922,4.038341934
B12B8,12,8,11/10/21,Bishop,Basin,Blastulidium,18126.65,4.258341507
